player_id,player_name,games_p1,games_p2,bb_score_p1,bb_score_p2,tear2_p1,tear2_p2,tear3_p1,tear3_p2,tear4_p1,tear4_p2,tear5_p1,tear5_p2,longest_tear_p1,longest_tear_p2,boom_rate_p1,boom_rate_p2,best_week_p1,best_week_p2,top3_avg_p1,top3_avg_p2,iv_p1,iv_p2,iv_tier_p1,iv_tier_p2,mean_week_p1,mean_week_p2,std_week_p1,std_week_p2,useful_pct_p1,useful_pct_p2,useful_ppw_p1,useful_ppw_p2,bb_change,tear_profile_p1,tear_profile_p2,boom_profile_p1
663554,Casey Mize,13,15,50.06,30.36,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,15.384615384615385,13.333333333333334,49.650000000000006,44.9,42.73333333333333,40.949999999999996,1.7658740782240376,2.0614536543252737,Gamma,Nuclear,27.14230769230769,21.15,12.78434664856868,15.032286680912616,9.090909090909092,0.0,49.650000000000006,0.0,-19.700000000000003,No Tears,No Tears,Elite (15%+)
808967,Yoshinobu Yamamoto,15,15,49.37,54.21,6.67,6.67,0.0,6.67,0.0,0.0,0.0,0.0,2,3,13.333333333333334,13.333333333333334,56.45,67.05000000000001,50.416666666666664,60.78333333333334,2.2236596274599383,2.5805596263965147,Nuclear,Nuclear,27.596666666666668,36.400000000000006,16.098563230774293,18.81764939017168,14.285714285714285,14.285714285714285,46.6,46.550000000000004,4.840000000000003,No Tears,Moderate (5-15),High (10-15%)
675848,Juan Mejia,19,36,19.12,23.19,0.0,11.11,0.0,5.56,0.0,2.78,0.0,2.78,0,5,10.526315789473683,11.11111111111111,22.05,28.65,21.7,23.416666666666668,0.9005977410231017,0.8867415305690189,Low-Vol,Low-Vol,10.455263157894738,8.745833333333332,6.520030988696853,6.466190918925918,0.0,0.0,0.0,0.0,4.07,No Tears,Moderate (5-15),High (10-15%)
663559,Bailey Falter,16,10,44.65,26.11,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,12.5,10.0,44.45,32.15,38.38333333333333,21.5,1.6801856388577092,1.4386480647543303,Gamma,High-IV,20.65,9.765,12.163990573272683,10.490737978490042,7.6923076923076925,0.0,44.45,0.0,-18.54,No Tears,No Tears,High (10-15%)
669711,Greg Weissert,38,34,17.11,18.41,5.26,5.88,2.63,0.0,0.0,0.0,0.0,0.0,3,2,10.526315789473683,11.76470588235294,18.65,17.55,17.55,17.099999999999998,0.6653376665483743,0.8212089651473469,Low-Vol,Low-Vol,9.246052631578948,7.069117647058824,4.816825544015413,5.988322154674379,0.0,0.0,0.0,0.0,1.3000000000000007,Low (0-5),No Tears,High (10-15%)
622608,Antonio Senzatela,16,14,28.65,27.81,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,12.5,14.285714285714285,30.65,18.15,22.516666666666666,15.616666666666667,1.4189903782669442,1.3630227867587104,High-IV,High-IV,5.999999999999999,7.7250000000000005,10.273022924144577,9.939272338324603,0.0,0.0,0.0,0.0,-0.8399999999999999,No Tears,No Tears,High (10-15%)
663568,Stephen Kolek,9,10,45.54,34.47,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0,3,11.11111111111111,10.0,42.9,38.150000000000006,36.349999999999994,31.11666666666667,1.6261403314621994,1.6413362735944732,Gamma,Gamma,22.77777777777778,17.764999999999997,11.772720350218313,11.968756781257147,14.285714285714285,0.0,42.9,0.0,-11.07,No Tears,Moderate (5-15),High (10-15%)
663574,Tony Santillan,37,43,28.09,18.24,10.81,4.65,5.41,2.33,2.7,0.0,0.0,0.0,4,3,16.216216216216218,11.627906976744185,17.65,22.1,17.099999999999998,20.099999999999998,0.9734198751810091,0.6806646999859916,Low-Vol,Low-Vol,8.144594594594594,10.38139534883721,7.047239252436452,4.96346201249709,0.0,0.0,0.0,0.0,-9.850000000000001,Moderate (5-15),Low (0-5),Elite (15%+)
694297,Brandon Pfaadt,16,17,33.59,43.11,6.25,5.88,6.25,0.0,0.0,0.0,0.0,0.0,3,2,12.5,11.76470588235294,42.0,42.55,35.050000000000004,39.06666666666666,2.5055321522956513,1.517247008890134,Nuclear,High-IV,17.265625,22.035294117647055,18.139227461958424,11.063887832520185,0.0,7.6923076923076925,0.0,42.55,9.519999999999996,Moderate (5-15),No Tears,High (10-15%)
669724,Brenan Hanifee,34,20,18.33,13.32,8.82,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,11.76470588235294,10.0,21.5,12.3,18.28333333333333,11.183333333333335,0.795072984636833,0.49326942539389196,Low-Vol,Low-Vol,7.17794117647059,5.687500000000001,5.756066512246417,3.5969605224411345,0.0,0.0,0.0,0.0,-5.009999999999998,No Tears,No Tears,High (10-15%)
