player_id	player_name	position	rank	team
727378	Shohei Ohtani	OF	1	Dodgers
906282	Juan Soto	OF	2	Mets
549847	Aaron Judge	OF	3	Yankees
1169451	Bobby Witt Jr.	IF	4	Royals
598784	Jose Ramirez	IF	5	Guardians
1169588	Corbin Carroll	OF	6	Diamondbacks
597754	Francisco Lindor	IF	7	Mets
709545	Kyle Schwarber	OF	8	Phillies
1299668	Elly De La Cruz	IF	9	Reds
657863	Matt Olson	IF	10	Braves
1519230	Nick Kurtz	IF	11	Athletics
1118204	Julio Rodriguez	OF	12	Mariners
1169580	Gunnar Henderson	IF	13	Orioles
873981	Pete Alonso	IF	14	Mets
390291	Freddie Freeman	IF	15	Dodgers
877503	Ronald Acuna Jr.	OF	16	Braves
920245	Vladimir Guerrero Jr.	IF	17	Blue Jays
828312	Rafael Devers	IF	18	Red Sox
874240	Kyle Tucker	OF	19	Cubs
597026	Ketel Marte	IF	20	Diamondbacks
915772	Cal Raleigh	IF	21	Mariners
599179	Trea Turner	IF	22	Phillies
727362	Seiya Suzuki	OF	23	Cubs
597889	Mookie Betts	IF	24	Dodgers
548155	Manny Machado	IF	25	Padres
736655	Willy Adames	IF	26	Giants
913287	Brent Rooker	OF	27	Athletics
1118975	Jarren Duran	OF	28	Red Sox
919910	Fernando Tatis Jr.	OF	29	Padres
548033	Bryce Harper	IF	30	Phillies
827194	Ian Happ	OF	31	Cubs
737794	Cody Bellinger	OF	32	Yankees
914549	Randy Arozarena	OF	33	Mariners
526414	George Springer	OF	34	Blue Jays
1372536	Jackson Chourio	OF	35	Brewers
597760	Brandon Nimmo	OF	36	Mets
505033	Eugenio Suarez	IF	37	Diamondbacks
548190	Christian Yelich	OF	38	Brewers
1169578	CJ Abrams	IF	39	Nationals
1054431	Nico Hoerner	IF	40	Cubs
874243	Josh Naylor	IF	41	Diamondbacks
1316803	James Wood	OF	42	Nationals
872847	William Contreras	IF	43	Brewers
873683	Bryan Reynolds	OF	44	Pirates
1169560	Riley Greene	OF	45	Tigers
1358467	Junior Caminero	IF	46	Rays
596861	Teoscar Hernandez	OF	47	Dodgers
1053474	Geraldo Perdomo	IF	48	Diamondbacks
823741	Yandy Diaz	IF	49	Rays
919327	Jazz Chisholm Jr.	IF	50	Yankees
659260	Dansby Swanson	IF	51	Cubs
876320	Jeremy Pena	IF	52	Astros
1396143	Zach Neto	IF	53	Angels
455591	Jose Altuve	IF	54	Astros
1053355	Maikel Garcia	IF	55	Royals
1054472	Steven Kwan	OF	56	Guardians
503013	Marcell Ozuna	OF	57	Braves
1452066	Wyatt Langford	OF	58	Rangers
943524	Yordan Alvarez	OF	59	Astros
1118772	Brice Turang	IF	60	Brewers
657913	Corey Seager	IF	61	Rangers
858832	Taylor Ward	OF	62	Angels
828153	Luis Arraez	IF	63	Padres
918663	Spencer Steer	IF	64	Reds
659419	Alex Bregman	IF	65	Red Sox
874756	Austin Riley	IF	66	Braves
828672	Matt Chapman	IF	67	Giants
1115807	Bryson Stott	IF	68	Phillies
546772	Marcus Semien	IF	69	Rangers
549315	Jurickson Profar	OF	70	Braves
830219	Ozzie Albies	IF	71	Braves
830372	Gleyber Torres	IF	72	Tigers
1396667	Roman Anthony	OF	73	Red Sox
918283	Nathaniel Lowe	IF	74	Nationals
1115993	Spencer Torkelson	IF	75	Tigers
392995	Salvador Perez	IF	76	Royals
548164	Nick Castellanos	OF	77	Phillies
1115762	Vinnie Pasquantino	IF	78	Royals
918812	Shea Langeliers	IF	79	Athletics
503826	Christian Walker	IF	80	Astros
597765	Trevor Story	IF	81	Red Sox
1316945	Jackson Merrill	OF	82	Padres
550735	Xander Bogaerts	IF	83	Padres
1169617	Michael Harris II	OF	84	Braves
